10 88
1 1 85
1 3 37
1 4 44
1 5 96
1 7 92
1 8 12
1 9 20
2 1 29
2 2 98
2 3 57
2 6 97
2 7 26
2 8 30
2 9 37
2 10 100
3 1 74
3 2 14
3 3 32
3 4 31
3 6 27
3 7 40
3 8 98
3 9 3
3 10 37
4 2 30
4 3 70
4 4 44
4 5 31
4 6 62
4 7 60
4 8 30
4 9 99
4 10 7
5 1 26
5 2 58
5 3 21
5 4 35
5 5 65
5 6 99
5 7 62
5 8 20
5 9 51
5 10 87
6 1 9
6 2 94
6 3 25
6 4 19
6 5 8
6 7 94
6 8 93
6 10 68
7 1 39
7 2 88
7 3 41
7 4 50
7 5 30
7 6 54
7 7 96
7 8 68
7 9 61
7 10 72
8 1 63
8 2 79
8 4 70
8 5 76
8 6 87
8 7 55
8 9 51
8 10 100
9 1 47
9 2 25
9 3 6
9 4 37
9 5 80
9 6 22
9 7 51
9 8 6
9 9 77
9 10 53
10 1 45
10 2 93
10 3 68
10 4 33
10 5 6
10 7 42
10 8 76
10 9 57
10 10 73
